record_id,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,1y average s1,1y average s2,1y average,2y average s1,2y average s2,2y average,3y average s1,3y average s2,3y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,4 forth,how do others feedbacks influence you,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin,year_ordinal,inferred_year_from_grades
363,Male,First year,Mathematics,26-33,In your room (dorms),Alone,Learning by practicing;Online courses and tutorials,Online tutorials;YouTube videos,Yes,Lack of time,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,Don't know the right method to study,2.0,Yes,3.0,3.0,You do not care about,5-7 hours,3.0,7.0,7.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
364,Female,Third year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",1.0,Yes,2.0,4.0,You do not care about,5-7 hours,2.0,7.0,7.0,6.0,8.0,,,,High,12.0,12.0,,,,,,,,,,,,,,,,,Moderate,,High,,,,,,,,,,,,,,,,,,,,,,,Pressure,Positively,,,,,,,,,,High,High,High,Moderate,High,High,Moderate,Moderate,High,High,High,Moderate,High,3,2.0
365,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,Yes,1.0,3.0,You do not care about,5-7 hours,4.0,10.0,7.0,7.0,8.0,,,,Moderate,7.0,9.0,,,,,,,,,,,,,,,,,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Low,Moderate,Low,High,2,2.0
366,Male,Third year,Mathematics,10-17,At home,Alone,Online courses and tutorials,"Online tutorials, YouTube videos",No,Not having a good (powerful) computer,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Lack of previous knowledge or experience in the field,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",1.0,Yes,1.0,5.0,You do not care about,5-7 hours,5.0,7.0,7.0,7.0,9.0,,,,High,11.0,12.0,,,,,,,,,,,,,,,,,High,,High,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,High,3,2.0
367,Male,Third year,Technical maths,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,3.0,4.0,You do not care about,8 hours or more,3.0,8.0,7.0,6.0,6.0,,,,High,12.0,13.0,,,,,,,,,,,,,,,,,High,,High,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,Very High,High,High,High,High,High,Moderate,High,High,High,High,Moderate,High,3,2.0
368,Male,First year,Science,10-17,In the school's library,In peer,Mind mapping and visualization,YouTube videos,No,Teaching language,Pressure,Bad quality of internet,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Lack of previous knowledge or experience in the field,Don't know the right method to study,4.0,No,5.0,5.0,You do not care about,5-7 hours,5.0,3.0,7.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
369,Male,First year,Mathematics,10-17,At home,Alone,Learning by practicing;Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Teaching language,Private life problems,Don't know the right method to study,3.0,Yes,4.0,4.0,Positively,8 hours or more,4.0,8.0,7.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
370,Female,First year,Science,10-17,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Online tutorials, YouTube videos",No,Lack of time,Pressure,Teaching language,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Bad quality of internet,Don't know the right method to study,3.0,No,4.0,4.0,You do not care about,5-7 hours,3.0,5.0,7.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
371,Female,First year,Mathematics,26-33,In your room (dorms),Alone,Mind mapping and visualization,Online documents,No,Lack of time,Pressure,Bad quality of internet,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Not having a good (powerful) computer,It can all be summed in LACK OF TIME,3.0,Yes,5.0,4.0,You do not care about,5-7 hours,3.0,10.0,7.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
372,Female,First year,Mathematics,18-25,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Interactive workshops,Books;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Don't know the right method to study,3.0,Yes,4.0,5.0,Positively,5-7 hours,3.0,8.0,7.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
373,Female,First year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,Online tutorials;YouTube videos,No,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Private life problems,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Don't know the right method to study,2.0,No,3.0,4.0,You do not care about,5-7 hours,2.0,8.0,7.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
374,Female,First year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,"Books, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Don't know the right method to study,3.0,No,5.0,5.0,You do not care about,5-7 hours,3.0,4.0,7.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Negatively,,,,,,,,,,,,,,,,,,,,,,,1,
375,Female,First year,Mathematics,18-25,In the dorms' library,Alone,"Learning by practicing, Online courses and tutorials","Books, Online documents",No,Bad quality of internet,Pressure,Lack of time,Teachers' teaching method,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Don't know the right method to study,3.0,No,3.0,4.0,You do not care about,4 hours or less,3.0,9.0,7.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private life problems,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
376,Female,First year,Mathematics,26-33,In the school's library,Alone,Learning by practicing;Project-based learning;Interactive workshops,Books;Online documents;YouTube videos,No,Pressure,Pressure,Lack of time,Pressure,Teachers' teaching method,Lack of time,Lack of time,Lack of time,Don't know the right method to study,3.0,No,4.0,5.0,Positively,5-7 hours,3.0,9.0,7.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
377,Male,First year,Science,18-25,In the school's library,Alone,Learning by practicing,Books,No,Lack of time,Pressure,Teaching language,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Teachers' teaching method,Private life problems,Don't know the right method to study,2.0,No,3.0,5.0,Positively,8 hours or more,5.0,5.0,7.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
378,Female,First year,Science,10-17,In your room (dorms),Alone,Interactive workshops,Online documents;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Don't know the right method to study,4.0,No,5.0,5.0,You do not care about,8 hours or more,4.0,6.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
379,Female,First year,Mathematics,18-25,At home,Alone,Learning by practicing;Project-based learning,Online tutorials;YouTube videos,No,Pressure,Private life problems,Lack of time,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,I can't focus and always anxious.,2.0,No,1.0,2.0,Positively,5-7 hours,1.0,9.0,7.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
380,Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, Private courses",No,Pressure,Private life problems,Lack of time,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Don't know the right method to study,3.0,Yes,4.0,5.0,You do not care about,5-7 hours,2.0,7.0,7.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,Negatively,,,,,,,,,,,,,,,,,,,,,,,1,
381,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Private life problems,Private life problems,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,Yes,3.0,4.0,You do not care about,8 hours or more,4.0,8.0,7.0,7.0,9.0,,,,High,10.0,11.0,,,,,,,,,,,,,,,,,Moderate,,High,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,High,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,3,2.0
382,Female,First year,Mathematics,10-17,In your room (dorms),Alone,Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Lack of time,Teachers' teaching method,Teaching language,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Not having a good (powerful) computer,Don't know the right method to study,3.0,Yes,4.0,4.0,You do not care about,5-7 hours,4.0,5.0,7.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
383,Female,First year,Science,18-25,In your room (dorms),In peer,"Lectures, Learning by practicing","Books, Online documents, YouTube videos, other universities courses",No,Lack of time,Teachers' teaching method,Bad quality of internet,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,Don't know the right method to study,3.0,Yes,4.0,3.0,You do not care about,8 hours or more,4.0,8.0,7.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
384,Male,First year,Mathematics,34-41,In the dorms' library,Alone,"Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos, Other schools' worksheets",No,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Pressure,Private life problems,Teaching language,Don't know the right method to study,2.0,No,5.0,5.0,You do not care about,5-7 hours,2.0,9.0,7.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not having a good (powerful) computer,Negatively,,,,,,,,,,,,,,,,,,,,,,,1,
385,Female,First year,Science,18-25,At home,Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Teachers' teaching method,Private life problems,Pressure,Private life problems,Not having a good (powerful) computer,Don't know the right method to study,3.0,Yes,2.0,3.0,You do not care about,5-7 hours,2.0,4.0,7.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,Positively,,,,,,,,,,,,,,,,,,,,,,,1,
386,Female,First year,Mathematics,10-17,In your room (dorms),Alone,Lectures,Online documents,No,Private life problems,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,"Not having the desire to study,.",1.0,Yes,1.0,2.0,You do not care about,8 hours or more,5.0,7.0,7.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
387,Male,First year,Mathematics,10-17,In your room (dorms),In peer,Mind mapping and visualization,YouTube videos,No,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Don't know the right method to study,3.0,Yes,3.0,3.0,You do not care about,5-7 hours,3.0,7.0,7.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
388,Female,First year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Not having a good (powerful) computer,Bad quality of internet,Bad quality of internet,Don't know the right method to study,2.0,No,2.0,2.0,You do not care about,8 hours or more,2.0,8.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,Negatively,,,,,,,,,,,,,,,,,,,,,,,1,
389,Male,First year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Pressure,Teachers' teaching method,Lack of time,Teachers' teaching method,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,Don't know the right method to study,3.0,No,5.0,5.0,You do not care about,5-7 hours,3.0,9.0,7.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
390,Female,First year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",Online documents,Yes,Pressure,Teachers' teaching method,Lack of time,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Don't know the right method to study,4.0,No,5.0,5.0,You do not care about,8 hours or more,4.0,8.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,,,,,,,,,,,,,,,,,,,,,,,1,
391,Male,First year,Mathematics,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,No,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Teaching language,Too many projects and homework especially in critical thinking and english (chami) useless course,3.0,No,4.0,4.0,Negatively,8 hours or more,4.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
392,Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Not having a good (powerful) computer,Pressure,Bad quality of internet,Don't know the right method to study,3.0,Yes,5.0,5.0,You do not care about,8 hours or more,3.0,6.0,7.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Positively,,,,,,,,,,,,,,,,,,,,,,,1,
393,Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Teaching language,Teachers' teaching method,Teachers' teaching method,Lack of time,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Don't know the right method to study,3.0,No,3.0,4.0,You do not care about,8 hours or more,2.0,6.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,Positively,,,,,,,,,,,,,,,,,,,,,,,1,
394,Female,Third year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing","Books, YouTube videos",No,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Teaching language,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,No,1.0,1.0,You do not care about,8 hours or more,3.0,8.0,8.0,6.0,2.0,,,,Moderate,11.0,11.0,,,,,,,,,,,,,,,,,Moderate,,High,,,,,,,,,,,,,,,,,,,,,,,Not having a good (powerful) computer,Negatively,,,,,,,,,,High,High,Moderate,High,Moderate,High,Low,Moderate,High,High,Moderate,High,High,3,2.0
395,Female,First year,Science,18-25,In the school's library,Alone,Learning by practicing,YouTube videos,No,Lack of time,Bad quality of internet,Pressure,Teachers' teaching method,Teachers' teaching method,Teaching language,Private life problems,Not having a good (powerful) computer,Don't know the right method to study,3.0,No,4.0,4.0,You do not care about,8 hours or more,3.0,8.0,8.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
396,Male,First year,Mathematics,10-17,In your room (dorms),Alone,Lectures,Books;Online documents;special platforms like math exchange,No,Pressure,Bad quality of internet,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,being obliged to study modules that I'm not interested in like CTCS,2.0,Yes,2.0,3.0,You do not care about,8 hours or more,3.0,5.0,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
397,Male,First year,Mathematics,26-33,In your room (dorms),With a group,"Learning by practicing, Interactive workshops","Books, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,Teachers' teaching method,Teachers' teaching method,Teaching language,Private life problems,Not having a good (powerful) computer,Don't know the right method to study,3.0,No,4.0,5.0,You do not care about,4 hours or less,3.0,7.0,8.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
398,Male,First year,Technical maths,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Bad quality of internet,Teachers' teaching method,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Private life problems,Don't know the right method to study,3.0,Yes,3.0,5.0,You do not care about,4 hours or less,5.0,6.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
399,Female,First year,Mathematics,18-25,In the dorms' library,Alone,Lectures,Books,No,Lack of time,Bad quality of internet,Teachers' teaching method,Teachers' teaching method,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Don't know the right method to study,2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,9.0,8.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
400,Male,First year,Science,18-25,In your room (dorms),Alone,"Lectures, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Teachers' teaching method,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,Not having a good (powerful) computer,Don't know the right method to study,3.0,Yes,4.0,4.0,You do not care about,5-7 hours,3.0,8.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
401,Female,First year,Science,18-25,In your room (dorms),Alone,Learning by practicing,Online tutorials,Yes,Pressure,Bad quality of internet,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teachers' teaching method,Private life problems,Don't know the right method to study,3.0,Yes,4.0,5.0,Positively,5-7 hours,3.0,9.0,8.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
402,Male,First year,Science,10-17,At home,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, YouTube videos, Mentors, experts and my parents.",Yes,Teachers' teaching method,Bad quality of internet,Pressure,Teachers' teaching method,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Don't know the right method to study,3.0,No,5.0,5.0,You do not care about,4 hours or less,3.0,7.0,8.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
403,Female,First year,Mathematics,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,Teachers' teaching method,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,Teaching language,Don't know the right method to study,3.0,No,5.0,5.0,You do not care about,5-7 hours,3.0,10.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,,1,
404,Male,First year,Science,26-33,In the school's library,Alone,Online courses and tutorials,YouTube videos,Yes,Private life problems,Bad quality of internet,Pressure,Teachers' teaching method,Lack of time,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,Don't know the right method to study,4.0,No,5.0,5.0,You do not care about,5-7 hours,3.0,8.0,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,,,,,,,,,,,,,,,,,,,,,,,1,
405,Female,Third year,Mathematics,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online documents, YouTube videos",No,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,8.0,6.0,6.0,,,,Moderate,11.0,11.0,,,,,,,,,,,,,,,,,Moderate,,High,,,,,,,,,,,,,,,,,,,,,,,Lack of time,Positively,,,,,,,,,,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,3,2.0
406,Male,Third year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Books, Online documents",No,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Lack of time,Bad quality of internet,Teaching language,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,Yes,4.0,5.0,You do not care about,5-7 hours,3.0,9.0,8.0,8.0,7.0,,,,High,11.0,13.0,,,,,,,,,,,,,,,,,Moderate,,High,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,You do not care about,,,,,,,,,,Very High,High,High,High,High,High,Low,Moderate,High,High,High,High,High,3,2.0
